Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size,Skin_Type,Gender_Target,Packaging_Type,Main_Ingredient,Cruelty_Free,Country_of_Origin
Divine Setting Spray,Pat McGrath Labs,Highlighter,Daily,105.54,4.9,1098,150ml,Dry,Female,Spray,Glycerin,FALSE,Japan
Magic Eye Shadow,Laura Mercier,Contour,Occasional,34.06,3,4490,50ml,Oily,Unisex,Stick,Vitamin C,FALSE,Japan
Ultra Exfoliator,Too Faced,Bronzer,Monthly,62.56,2.3,3254,30ml,Combination,Female,Bottle,Retinol,FALSE,France
Magic Lip Liner,Perricone MD,Lip Gloss,Daily,120.23,1.6,3813,50ml,Oily,Male,Compact,Vitamin C,FALSE,Germany
Super Makeup Remover,RMS Beauty,Eyeliner,Monthly,62.98,3.3,1926,200ml,Dry,Female,Spray,Glycerin,TRUE,UK
Perfect BB Cream,Sisley,Powder,Weekly,74.95,1.9,1270,250ml,Dry,Unisex,Stick,Salicylic Acid,TRUE,France
Magic BB Cream,Juvia’s Place,Highlighter,Occasional,46.66,4.6,5398,200ml,Sensitive,Male,Spray,Glycerin,FALSE,Italy
Super Lip Liner,ColourPop,Powder,Monthly,27.45,1.2,9692,50ml,Oily,Female,Bottle,Glycerin,TRUE,Australia
Ultra Lip Gloss,Urban Decay,Eye Shadow,Daily,134.54,1,4973,100ml,Dry,Female,Spray,Hyaluronic Acid,FALSE,France
Super Primer,Rare Beauty,Highlighter,Weekly,111.7,1.7,9892,150ml,Combination,Unisex,Compact,Retinol,TRUE,USA
Super Cleanser,Fenty Beauty,Makeup Remover,Monthly,148.76,2.3,4487,30ml,Sensitive,Unisex,Spray,Vitamin C,FALSE,USA
Divine Eyeliner,Fenty Beauty,Eye Shadow,Occasional,74.51,4.6,4884,30ml,Oily,Male,Stick,Glycerin,FALSE,South Korea
Super Contour,Becca,Cleanser,Monthly,63.79,2,7155,30ml,Dry,Female,Jar,Vitamin C,TRUE,France
Perfect Eyeliner,Patrick Ta,Bronzer,Daily,135.46,4,5148,250ml,Dry,Female,Bottle,Shea Butter,FALSE,USA
Divine Cleanser,Shiseido,Powder,Weekly,74.45,4,69,30ml,Oily,Female,Spray,Shea Butter,FALSE,Australia
Super Foundation,Rare Beauty,Concealer,Monthly,25.46,2.8,6843,150ml,Dry,Male,Compact,Hyaluronic Acid,FALSE,South Korea
Magic Makeup Remover,Kylie Cosmetics,Mascara,Occasional,58.41,1.4,4149,200ml,Oily,Unisex,Jar,Salicylic Acid,FALSE,UK
Perfect Face Mask,RMS Beauty,Blush,Weekly,142.53,2.5,734,100ml,Oily,Unisex,Compact,Glycerin,FALSE,France
Perfect Contour,Pat McGrath Labs,Serum,Occasional,99.2,3.1,4405,30ml,Oily,Male,Tube,Aloe Vera,TRUE,Japan
Divine CC Cream,Fenty Beauty,Mascara,Occasional,132.98,1.4,7747,30ml,Dry,Unisex,Jar,Glycerin,TRUE,South Korea
Perfect Lip Liner,Bite Beauty,Face Oil,Weekly,72.88,1.1,3358,30ml,Sensitive,Female,Compact,Shea Butter,FALSE,Australia
Ultra Moisturizer,Hourglass,Contour,Daily,79.42,4.7,3975,100ml,Dry,Female,Bottle,Shea Butter,FALSE,France
Magic Setting Spray,Drunk Elephant,Cleanser,Daily,70.15,3,786,200ml,Dry,Unisex,Tube,Shea Butter,TRUE,Japan
Magic CC Cream,Urban Decay,Contour,Weekly,111.62,4.9,2705,50ml,Normal,Male,Compact,Retinol,FALSE,South Korea
Divine Setting Spray,Laura Mercier,BB Cream,Monthly,45.83,2.1,6947,50ml,Oily,Female,Jar,Salicylic Acid,FALSE,Japan
Super Exfoliator,Hourglass,Exfoliator,Occasional,19.74,1.3,5980,150ml,Normal,Unisex,Spray,Salicylic Acid,FALSE,South Korea
Perfect Eye Shadow,Laura Mercier,Eyeliner,Weekly,112.67,3.3,1492,200ml,Dry,Unisex,Spray,Aloe Vera,TRUE,Germany
Super Highlighter,Tarte,Exfoliator,Occasional,148.7,3.5,5380,100ml,Normal,Unisex,Stick,Retinol,FALSE,Australia
Ultra Serum,Anastasia Beverly Hills,Concealer,Occasional,49.32,2.5,3274,250ml,Dry,Female,Bottle,Salicylic Acid,TRUE,Australia
Ultra Cleanser,Laura Mercier,CC Cream,Weekly,42.84,1.1,4441,50ml,Sensitive,Male,Jar,Vitamin C,TRUE,South Korea
Perfect Serum,E.l.f.,Concealer,Occasional,133.56,1.3,7450,200ml,Normal,Male,Spray,Glycerin,FALSE,Australia
Divine Cleanser,Becca,Face Mask,Occasional,49.67,1.9,8956,30ml,Oily,Female,Jar,Hyaluronic Acid,FALSE,Germany
Divine Primer,Tarte,Bronzer,Occasional,31.81,3.1,6868,100ml,Sensitive,Male,Compact,Shea Butter,FALSE,Japan
Super Eyeliner,E.l.f.,Primer,Occasional,28.72,2.6,4597,200ml,Sensitive,Unisex,Stick,Aloe Vera,FALSE,Japan
Super Blush,Yves Saint Laurent,Face Mask,Weekly,110.51,4.2,2973,100ml,Normal,Male,Stick,Vitamin C,FALSE,UK
Magic Primer,Bourjois,Contour,Occasional,142.17,3.9,8901,50ml,Oily,Unisex,Stick,Salicylic Acid,FALSE,Italy
Perfect Mascara,Rare Beauty,Exfoliator,Weekly,97.15,1.2,764,100ml,Normal,Female,Spray,Salicylic Acid,TRUE,Australia
Ultra Concealer,Perricone MD,Makeup Remover,Daily,110.12,2.3,1532,200ml,Oily,Male,Compact,Shea Butter,FALSE,Germany
Ultra Face Oil,Laura Mercier,Exfoliator,Monthly,13.9,3.6,262,100ml,Dry,Male,Stick,Aloe Vera,TRUE,USA
Magic Contour,Kylie Cosmetics,Powder,Occasional,107.38,4.9,5290,50ml,Normal,Male,Spray,Hyaluronic Acid,FALSE,Australia
Magic Mascara,Bourjois,Cleanser,Daily,97.75,2.9,3341,30ml,Combination,Male,Compact,Vitamin C,FALSE,UK
Super Eye Shadow,Bourjois,Eye Shadow,Daily,57.24,2.5,7063,30ml,Combination,Female,Jar,Hyaluronic Acid,TRUE,Italy
Ultra Eyeliner,Glossier,Lip Liner,Daily,94.09,2.5,9321,100ml,Oily,Unisex,Spray,Shea Butter,TRUE,France
Super BB Cream,Bobby Brown,Foundation,Occasional,22.93,4,8824,200ml,Dry,Unisex,Stick,Vitamin C,FALSE,Germany
Perfect Concealer,Becca,Lipstick,Daily,38.7,3.5,1145,200ml,Oily,Male,Stick,Glycerin,TRUE,UK
Magic Setting Spray,Farsali,Lip Liner,Daily,103.44,4.5,7547,150ml,Combination,Female,Spray,Shea Butter,FALSE,Germany
Divine Makeup Remover,Tatcha,Contour,Weekly,84.37,2.4,3721,200ml,Dry,Unisex,Stick,Shea Butter,TRUE,France
Super Bronzer,Anastasia Beverly Hills,Cleanser,Weekly,143.23,4.8,2308,50ml,Normal,Unisex,Stick,Retinol,TRUE,Italy
Magic Lipstick,RMS Beauty,Powder,Monthly,114.37,2.8,9401,30ml,Normal,Male,Bottle,Retinol,FALSE,Italy
Divine Contour,Morphe,Makeup Remover,Monthly,108.92,3.6,8901,30ml,Combination,Unisex,Compact,Vitamin C,FALSE,Italy
Ultra Blush,RMS Beauty,Lipstick,Occasional,15.36,1.5,2461,150ml,Combination,Female,Bottle,Aloe Vera,TRUE,South Korea
Divine Setting Spray,RMS Beauty,Powder,Weekly,144.46,1.4,9314,30ml,Oily,Male,Stick,Hyaluronic Acid,FALSE,UK
Divine Setting Spray,Huda Beauty,Face Mask,Occasional,53.25,3.6,6115,250ml,Sensitive,Male,Spray,Hyaluronic Acid,FALSE,Germany
Ultra Makeup Remover,Pat McGrath Labs,Serum,Occasional,39.87,3,7793,200ml,Normal,Female,Spray,Hyaluronic Acid,TRUE,France
Perfect Eyeliner,Sisley,Serum,Weekly,17.32,2.6,1402,100ml,Oily,Female,Bottle,Glycerin,FALSE,Italy
Super Mascara,Too Faced,Foundation,Weekly,104.76,3.3,1435,100ml,Combination,Male,Bottle,Hyaluronic Acid,FALSE,UK
Magic Makeup Remover,Too Faced,Blush,Monthly,34.46,2,5485,150ml,Oily,Female,Jar,Retinol,TRUE,Italy
Ultra Face Mask,Tatcha,Foundation,Monthly,132.75,3.7,9541,50ml,Oily,Female,Stick,Aloe Vera,FALSE,Italy
Perfect BB Cream,Fenty Beauty,Cleanser,Daily,86.04,4.2,7546,150ml,Sensitive,Female,Compact,Shea Butter,TRUE,Germany
Perfect BB Cream,Natasha Denona,Powder,Occasional,15.83,3.5,7966,100ml,Oily,Female,Jar,Shea Butter,TRUE,Italy
Magic Lipstick,Danessa Myricks,Bronzer,Monthly,15.17,3.3,9458,100ml,Sensitive,Female,Stick,Salicylic Acid,FALSE,Australia
Divine Concealer,Perricone MD,Primer,Occasional,114.25,4.6,8534,150ml,Oily,Female,Tube,Vitamin C,TRUE,France
Divine Exfoliator,Kylie Cosmetics,Face Mask,Occasional,72.78,3.9,1857,30ml,Oily,Female,Tube,Retinol,TRUE,Germany
Super Contour,Rare Beauty,Primer,Occasional,114.03,1,9905,50ml,Normal,Female,Jar,Salicylic Acid,FALSE,Japan
Divine Contour,Milk Makeup,Mascara,Daily,105.93,1.7,5581,30ml,Dry,Male,Bottle,Vitamin C,FALSE,UK
Ultra Foundation,Pat McGrath Labs,Setting Spray,Weekly,40.89,3,7249,200ml,Dry,Female,Jar,Hyaluronic Acid,FALSE,South Korea
Divine Face Mask,Clinique,Contour,Daily,141.48,3.7,9189,150ml,Normal,Unisex,Bottle,Shea Butter,TRUE,Germany
Divine Concealer,Anastasia Beverly Hills,Face Mask,Monthly,109.61,1.7,506,250ml,Oily,Male,Tube,Glycerin,TRUE,Italy
Super Exfoliator,Sisley,Moisturizer,Weekly,78.62,2.7,4829,150ml,Normal,Male,Tube,Hyaluronic Acid,FALSE,Germany
Divine BB Cream,KVD Beauty,Lip Liner,Occasional,101.67,2.3,52,30ml,Oily,Unisex,Spray,Vitamin C,FALSE,UK
Perfect Cleanser,Farsali,Bronzer,Monthly,85.31,1.3,8316,30ml,Combination,Unisex,Jar,Glycerin,FALSE,UK
Divine Exfoliator,Clinique,Makeup Remover,Weekly,76.5,4.8,8962,150ml,Sensitive,Unisex,Stick,Shea Butter,FALSE,Italy
Magic Contour,Natasha Denona,Face Mask,Daily,129.66,3.3,7110,150ml,Normal,Female,Spray,Hyaluronic Acid,FALSE,Italy
Super Lipstick,Shiseido,Concealer,Daily,42.77,4.9,6165,250ml,Combination,Male,Stick,Shea Butter,TRUE,Japan
Magic Eyeliner,Milk Makeup,Blush,Occasional,97.68,1.3,7863,50ml,Oily,Female,Compact,Aloe Vera,TRUE,Italy
Divine Setting Spray,Bobby Brown,Blush,Weekly,126.69,4.8,9525,200ml,Oily,Unisex,Compact,Vitamin C,TRUE,France
Magic Highlighter,IT Cosmetics,Lip Liner,Occasional,141.34,4.9,9617,200ml,Oily,Female,Jar,Aloe Vera,TRUE,Japan
Ultra Eye Shadow,NARS,Foundation,Monthly,136.12,4.6,5489,100ml,Normal,Female,Jar,Shea Butter,FALSE,UK
Magic Primer,Clinique,Blush,Occasional,48.08,2.6,8445,200ml,Combination,Male,Stick,Shea Butter,FALSE,Italy
Divine Lip Gloss,Rare Beauty,Face Oil,Occasional,149.9,4.3,6185,200ml,Normal,Female,Compact,Hyaluronic Acid,FALSE,UK
Super Lip Liner,Becca,Exfoliator,Monthly,89.22,2.5,8595,30ml,Dry,Female,Compact,Vitamin C,FALSE,South Korea
Divine Cleanser,KVD Beauty,BB Cream,Monthly,41.47,4.3,108,30ml,Sensitive,Female,Tube,Shea Butter,FALSE,South Korea
Super Face Mask,Shiseido,Setting Spray,Daily,43.51,3.5,3246,50ml,Dry,Male,Compact,Glycerin,TRUE,USA
Super Contour,NARS,Highlighter,Daily,70.22,1.4,6921,100ml,Dry,Female,Stick,Vitamin C,TRUE,Germany
Ultra Serum,Patrick Ta,Moisturizer,Weekly,108.06,3.5,1467,150ml,Oily,Male,Spray,Retinol,TRUE,Germany
Super Primer,Danessa Myricks,Primer,Weekly,148.83,2.7,7034,50ml,Normal,Female,Spray,Aloe Vera,FALSE,Australia
Divine Setting Spray,Natasha Denona,BB Cream,Weekly,22.51,3.6,8061,100ml,Normal,Male,Bottle,Hyaluronic Acid,TRUE,France
Divine Mascara,Sisley,Concealer,Occasional,107.14,2.8,5333,30ml,Oily,Unisex,Stick,Shea Butter,FALSE,UK
Divine Lip Gloss,Laura Mercier,Cleanser,Occasional,93.49,1.7,1959,250ml,Sensitive,Female,Tube,Retinol,TRUE,Australia
Super Blush,Sisley,Face Oil,Occasional,57.93,3.2,7353,30ml,Combination,Unisex,Spray,Retinol,FALSE,Italy
Magic Serum,Huda Beauty,Setting Spray,Occasional,129.56,3.7,7580,150ml,Normal,Male,Jar,Vitamin C,FALSE,France
Ultra Lip Gloss,Charlotte Tilbury,Contour,Weekly,39.63,3.4,4162,50ml,Sensitive,Female,Compact,Salicylic Acid,TRUE,USA
Divine Face Oil,Urban Decay,Exfoliator,Occasional,71.49,2.8,770,50ml,Combination,Unisex,Tube,Shea Butter,TRUE,Japan
Ultra Setting Spray,IT Cosmetics,Setting Spray,Daily,62.75,3.1,2901,150ml,Sensitive,Female,Compact,Retinol,TRUE,France
Ultra Lip Liner,Bobby Brown,Face Oil,Monthly,88.28,3.1,159,50ml,Sensitive,Unisex,Stick,Vitamin C,FALSE,Japan
Magic Cleanser,NARS,Face Oil,Daily,94.71,3.9,5860,200ml,Combination,Female,Compact,Vitamin C,FALSE,Germany
Magic Serum,Morphe,Powder,Occasional,63.46,4.2,2493,150ml,Oily,Unisex,Jar,Retinol,TRUE,South Korea
Ultra BB Cream,KVD Beauty,Makeup Remover,Weekly,117.39,3.6,709,250ml,Combination,Male,Jar,Glycerin,FALSE,USA
Magic Lipstick,Tatcha,Eye Shadow,Weekly,53.38,1.7,2607,50ml,Combination,Unisex,Jar,Shea Butter,TRUE,Australia
Ultra Exfoliator,Bite Beauty,Moisturizer,Daily,71.22,1.5,6782,150ml,Dry,Male,Stick,Hyaluronic Acid,TRUE,South Korea
Divine Serum,Charlotte Tilbury,Moisturizer,Monthly,26.05,4.4,8170,250ml,Combination,Male,Tube,Retinol,TRUE,Italy
Perfect Concealer,Kiehl’s,Bronzer,Weekly,136.41,1.3,7205,200ml,Oily,Female,Bottle,Aloe Vera,FALSE,South Korea
Super Powder,NARS,Contour,Daily,97.91,2.2,7774,200ml,Oily,Male,Stick,Aloe Vera,FALSE,UK
Divine Mascara,Bourjois,BB Cream,Occasional,148.59,2,3949,250ml,Normal,Male,Bottle,Retinol,TRUE,Italy
Ultra Face Oil,Tarte,Foundation,Daily,22.49,3.5,9078,30ml,Sensitive,Male,Compact,Retinol,FALSE,Italy
Perfect Lipstick,Bourjois,Concealer,Weekly,83.7,1.5,7243,30ml,Oily,Unisex,Tube,Salicylic Acid,TRUE,Australia
Divine Primer,Bite Beauty,Eyeliner,Daily,145.44,2.1,2793,150ml,Sensitive,Unisex,Jar,Glycerin,TRUE,Japan
Super Contour,Sisley,Concealer,Occasional,128.12,2.9,2377,250ml,Combination,Unisex,Spray,Hyaluronic Acid,FALSE,Japan
Magic Eye Shadow,Fenty Beauty,Serum,Monthly,122.23,2.4,5600,30ml,Combination,Female,Bottle,Shea Butter,FALSE,South Korea
Divine Highlighter,Farsali,Moisturizer,Weekly,119.67,4.4,9166,150ml,Sensitive,Male,Tube,Retinol,TRUE,Italy
Ultra Powder,Clinique,Foundation,Occasional,92.43,1.7,2230,250ml,Combination,Male,Jar,Vitamin C,FALSE,Australia
Ultra Powder,IT Cosmetics,Exfoliator,Monthly,69.14,4.6,6584,200ml,Combination,Male,Spray,Hyaluronic Acid,TRUE,USA
Ultra Powder,Bite Beauty,Lip Gloss,Monthly,29.6,3.4,8832,50ml,Sensitive,Female,Jar,Glycerin,FALSE,Japan
Divine Primer,ColourPop,CC Cream,Daily,67.61,2.4,425,250ml,Sensitive,Male,Spray,Retinol,TRUE,USA
Perfect Cleanser,Juvia’s Place,Moisturizer,Daily,86.18,4.9,3436,150ml,Normal,Female,Spray,Glycerin,FALSE,Australia
Super Makeup Remover,Milk Makeup,Contour,Daily,55.52,1.2,5117,100ml,Dry,Male,Tube,Glycerin,TRUE,USA
Perfect Setting Spray,Pat McGrath Labs,Highlighter,Weekly,142.14,3.3,4548,150ml,Normal,Female,Compact,Shea Butter,FALSE,Germany
Magic Eyeliner,Shiseido,CC Cream,Weekly,149.16,4.4,6158,50ml,Sensitive,Female,Jar,Shea Butter,TRUE,USA
Divine Cleanser,Sisley,Cleanser,Occasional,52.89,3,9595,150ml,Sensitive,Female,Stick,Aloe Vera,FALSE,Australia
Ultra Powder,Patrick Ta,Cleanser,Weekly,94.96,1,9200,30ml,Combination,Unisex,Stick,Retinol,TRUE,Australia
Divine Lip Gloss,Farsali,Face Oil,Monthly,143.49,2.6,8066,100ml,Sensitive,Male,Stick,Vitamin C,TRUE,UK
Perfect Lip Liner,Huda Beauty,Lip Gloss,Weekly,62.28,3.7,7809,150ml,Dry,Male,Jar,Glycerin,FALSE,UK
Perfect Eye Shadow,Natasha Denona,CC Cream,Daily,149.85,1.8,7547,200ml,Combination,Female,Bottle,Shea Butter,TRUE,USA
Super Lip Gloss,Patrick Ta,Bronzer,Weekly,83.63,4.8,3968,30ml,Sensitive,Male,Spray,Aloe Vera,FALSE,UK
Divine Highlighter,Bourjois,Mascara,Occasional,51.65,2.1,3815,250ml,Dry,Female,Bottle,Shea Butter,TRUE,Australia
Magic Makeup Remover,Too Faced,Makeup Remover,Monthly,65.46,2.5,1441,200ml,Oily,Male,Jar,Aloe Vera,FALSE,USA
Perfect Cleanser,Ilia Beauty,Moisturizer,Occasional,47.92,3.9,8471,100ml,Normal,Female,Compact,Aloe Vera,TRUE,Italy
Ultra Highlighter,Shiseido,Primer,Daily,71.25,4,5749,150ml,Oily,Female,Bottle,Shea Butter,FALSE,France
Ultra Lipstick,NARS,Powder,Monthly,73.09,4.8,1574,30ml,Dry,Unisex,Spray,Vitamin C,TRUE,Germany
Super Setting Spray,Farsali,Exfoliator,Weekly,45.01,4.3,7285,150ml,Dry,Female,Jar,Aloe Vera,FALSE,UK
Magic Powder,Kylie Cosmetics,Mascara,Daily,127.22,3.1,9065,200ml,Combination,Female,Spray,Hyaluronic Acid,FALSE,Japan
Perfect Setting Spray,Sisley,Face Mask,Occasional,62.17,4.9,4328,50ml,Dry,Unisex,Jar,Glycerin,FALSE,Germany
Perfect Moisturizer,Rare Beauty,Eye Shadow,Daily,46.09,2.4,7298,250ml,Dry,Unisex,Tube,Retinol,FALSE,USA
Super Cleanser,Becca,Powder,Daily,132.84,2.1,4276,50ml,Dry,Unisex,Bottle,Hyaluronic Acid,TRUE,France
Perfect Contour,Farsali,Cleanser,Occasional,70.92,2,5971,200ml,Dry,Unisex,Tube,Glycerin,TRUE,France
Divine Setting Spray,Bite Beauty,Serum,Daily,46.21,4.5,8829,50ml,Dry,Female,Spray,Hyaluronic Acid,TRUE,Germany
Super Setting Spray,Ilia Beauty,CC Cream,Occasional,73.99,2.2,7777,150ml,Normal,Unisex,Jar,Shea Butter,TRUE,Japan
Magic Lip Gloss,Kylie Cosmetics,Blush,Occasional,47.86,1.4,7664,50ml,Normal,Female,Bottle,Vitamin C,TRUE,South Korea
Perfect Highlighter,Milk Makeup,Primer,Daily,103.84,3.3,1206,200ml,Oily,Female,Stick,Hyaluronic Acid,FALSE,USA
Perfect Concealer,Juvia’s Place,Moisturizer,Monthly,40.17,2.1,6895,150ml,Combination,Female,Tube,Salicylic Acid,TRUE,Australia
Magic Lip Liner,RMS Beauty,Contour,Monthly,43.28,3.4,1567,30ml,Normal,Female,Bottle,Vitamin C,TRUE,Australia
Magic Powder,Becca,Concealer,Occasional,108.74,4,5921,30ml,Sensitive,Female,Stick,Aloe Vera,FALSE,UK
Ultra Lip Gloss,Kiehl’s,Eye Shadow,Weekly,78.36,1.9,3534,30ml,Normal,Male,Tube,Aloe Vera,FALSE,USA
Ultra Exfoliator,Laura Mercier,Makeup Remover,Daily,46.74,1.2,6838,200ml,Sensitive,Female,Jar,Shea Butter,TRUE,USA
Super BB Cream,RMS Beauty,Moisturizer,Weekly,97.76,1.9,7701,150ml,Combination,Male,Spray,Glycerin,TRUE,Germany
Super Eyeliner,Charlotte Tilbury,Concealer,Weekly,137.54,1.9,2124,50ml,Combination,Male,Bottle,Glycerin,TRUE,Australia
Ultra Lip Liner,Morphe,Primer,Occasional,92.26,1.3,9864,200ml,Dry,Female,Bottle,Hyaluronic Acid,TRUE,USA
Divine Concealer,Tarte,Lipstick,Monthly,79.18,1,7201,150ml,Combination,Unisex,Compact,Salicylic Acid,FALSE,Italy
Perfect Mascara,ColourPop,Blush,Weekly,83.29,2.3,4336,150ml,Dry,Unisex,Compact,Salicylic Acid,FALSE,Japan
Ultra Primer,Becca,Foundation,Monthly,64.4,4,6745,50ml,Dry,Male,Bottle,Hyaluronic Acid,TRUE,USA
Perfect Exfoliator,E.l.f.,Face Oil,Monthly,133.83,2.5,2589,100ml,Dry,Male,Jar,Shea Butter,FALSE,USA
Ultra Eyeliner,Bobby Brown,Eyeliner,Monthly,11.24,3.1,8830,50ml,Sensitive,Female,Spray,Glycerin,FALSE,UK
Super Eye Shadow,Patrick Ta,Mascara,Daily,23.43,4.8,5322,250ml,Dry,Unisex,Spray,Salicylic Acid,FALSE,UK
Magic Mascara,Urban Decay,BB Cream,Weekly,57.18,2.1,1421,100ml,Oily,Unisex,Stick,Glycerin,TRUE,UK
Divine Primer,Kiehl’s,Serum,Weekly,102.88,4.6,9311,50ml,Oily,Male,Stick,Hyaluronic Acid,FALSE,USA
Perfect Concealer,Becca,Powder,Monthly,142.44,4.2,451,100ml,Combination,Male,Spray,Hyaluronic Acid,FALSE,USA
Perfect Lip Liner,Laura Mercier,Concealer,Monthly,39.89,4.6,3914,200ml,Normal,Male,Stick,Aloe Vera,FALSE,South Korea
Super Exfoliator,Drunk Elephant,Lip Liner,Monthly,23.98,1.5,8320,150ml,Combination,Female,Compact,Salicylic Acid,FALSE,Japan
Super Eyeliner,KVD Beauty,Face Mask,Occasional,112.59,4.7,7668,200ml,Oily,Female,Bottle,Vitamin C,FALSE,Italy
Super Makeup Remover,Anastasia Beverly Hills,Exfoliator,Daily,148.49,1.1,3368,100ml,Dry,Unisex,Spray,Retinol,FALSE,France
Perfect Eye Shadow,Glossier,BB Cream,Monthly,33.77,4.3,442,30ml,Combination,Unisex,Jar,Shea Butter,TRUE,South Korea
Ultra Cleanser,Ilia Beauty,Face Oil,Daily,27.29,3.5,6783,30ml,Oily,Unisex,Tube,Hyaluronic Acid,FALSE,France
Perfect Lip Liner,Charlotte Tilbury,Face Oil,Monthly,147.41,4.5,2448,30ml,Oily,Female,Stick,Retinol,TRUE,France
Magic Setting Spray,Huda Beauty,Bronzer,Occasional,45.24,1.6,9014,150ml,Sensitive,Female,Tube,Vitamin C,FALSE,Australia
Perfect Mascara,Perricone MD,Contour,Daily,13.42,1.3,6389,50ml,Sensitive,Female,Jar,Glycerin,TRUE,Australia
Magic Serum,Tatcha,BB Cream,Occasional,44.25,3.6,7779,200ml,Sensitive,Male,Jar,Shea Butter,FALSE,Japan
Magic Highlighter,Too Faced,Face Oil,Weekly,100.75,2,270,250ml,Sensitive,Female,Bottle,Salicylic Acid,TRUE,South Korea
Divine Moisturizer,E.l.f.,Highlighter,Weekly,40.73,2.9,4891,200ml,Dry,Female,Compact,Shea Butter,TRUE,Italy
Magic Contour,Juvia’s Place,Highlighter,Daily,82.79,2.2,2172,30ml,Normal,Female,Bottle,Salicylic Acid,FALSE,Australia
Super Concealer,Milk Makeup,Concealer,Occasional,129.35,4.8,2964,100ml,Combination,Unisex,Tube,Shea Butter,TRUE,UK
Magic Lipstick,RMS Beauty,Mascara,Weekly,76.05,1.4,9536,200ml,Normal,Unisex,Compact,Hyaluronic Acid,FALSE,Australia
Divine CC Cream,Bobby Brown,Cleanser,Daily,123.79,2,8183,250ml,Sensitive,Unisex,Stick,Salicylic Acid,TRUE,Italy
