rank,Youtuber,subscribers,video views,video count,category,started
354,Cardi B,18500000,7069624864,60,People & Blogs,2016
355,invictor,18500000,7050721828,2106,Gaming,2013
356,shakiraVEVO,18400000,22257341033,189,Music,2009
357,CKN,18300000,18786377776,814,Entertainment,2015
358,Official Pink Panther,18300000,9942133522,629,Film & Animation,2013
359,Sonotek,18300000,7133240982,8169,Entertainment,2011
360,MiawAug,18200000,5236302709,3287,Gaming,2014
361,KBS WORLD TV,18200000,13926619677,58485,Entertainment,2007
362,Turma da Mônica,18200000,13088159940,1094,Film & Animation,2012
363,CookieSwirlC,18200000,20938593710,3571,Entertainment,2013
364,David Dobrik,18200000,7087407988,536,People & Blogs,2014
365,Unbox Therapy,18200000,4332532776,2053,Science & Technology,2010
366,The Royalty Family,18200000,4490004408,633,People & Blogs,2017
367,A_S Gaming,18200000,2476464261,932,Gaming,2016
368,HiMan,18200000,2367699484,326,People & Blogs,2014
369,BabyBus - Cerita & Lagu Anak-anak,18100000,10232250581,672,Education,2019
370,Dan-Sa / Daniel Saboya,18100000,6165702828,2062,Music,2007
371,Vania Mania Kids,18100000,6908411472,825,People & Blogs,2015
372,PDK Films,18100000,3910330714,108,Entertainment,2009
373,GEN HALILINTAR,18100000,3178960318,969,Entertainment,2015
374,ElTrollino,18000000,5486103239,1517,Entertainment,2013
375,Мирошка ТВ,18000000,4603751673,84,Education,2018
376,TheOdd1sOut,18000000,4023496321,113,Comedy,2014
377,INCRÍVEL,18000000,3017467860,5682,People & Blogs,2017
378,Emiway Bantai,18000000,3038899728,201,Music,2013
379,Vsauce,18000000,2415927927,391,Science & Technology,2007
380,Farruko,17900000,8480000414,193,Music,2009
381,Diana and Roma EN,17900000,3868166958,424,People & Blogs,2011
382,ArianaGrandeVevo,17800000,19011269725,177,Music,2010
383,Like Nastya Vlog,17800000,7561933732,397,People & Blogs,2016
384,Demi Lovato,17800000,6495131112,282,Music,2008
385,Lele Pons,17800000,4958584356,154,Comedy,2015
386,Lil Pump,17800000,4091109829,59,Music,2015
387,Naisa Alifia Yuriza (N.A.Y),17800000,2521515641,1462,People & Blogs,2017
388,SCTV,17700000,8588329369,50080,Entertainment,2011
389,Good Mythical Morning,17700000,8074270215,2980,Entertainment,2008
390,TheGrefg,17700000,6077820746,3332,Gaming,2012
391,Ali-A,17700000,5766028299,3920,Gaming,2006
392,Marmok,17700000,3131925799,344,Gaming,2008
393,Mother Goose Club Playhouse,17600000,15500399390,1282,Shows,2009
394,RsiamMusic : อาร์สยาม,17600000,10952154122,2663,Music,2011
395,Little Angel Español - Canciones Infantiles,17600000,8525569510,580,Education,2018
396,Познаватель,17600000,8522826642,476,Entertainment,2014
397,JFlaMusic,17600000,3657526529,282,Music,2011
398,Village Cooking Channel,17600000,4477436881,211,Howto & Style,2018
399,FactTechz,17500000,2112929572,578,Entertainment,2016
400,Sebastián Yatra,17400000,9316925082,196,News & Politics,2013
401,officialpsy,17400000,9825292199,119,Music,2010
402,Vlad and Niki IDN,17400000,8231518268,392,,2018
403,Porta dos Fundos,17400000,7258838590,1960,Entertainment,2012
404,Liza Koshy,17400000,2595554113,189,Comedy,2013
405,etvteluguindia,17300000,19465295267,111360,Entertainment,2010
406,Vijay Television,17300000,19901616359,27059,Entertainment,2007
407,TED-Ed,17300000,3287834094,1948,Education,2011
408,Stubborn Facts,17300000,827786482,217,Film & Animation,2016
409,PopularMMOs,17200000,14475783059,4686,Gaming,2012
410,SQUEEZIE,17200000,9258609822,1471,Gaming,2011
411,Masha e o Urso,17200000,7131816532,856,Shows,2016
412,Willyrex,17200000,4808457361,6686,Gaming,2009
413,RobleisIUTU,17200000,4680573231,1145,Entertainment,2013
414,EeOneGuy,17200000,3804413513,363,Entertainment,2013
415,LuisFonsiVEVO,17100000,14008585257,96,Music,2009
416,GRAMMY GOLD OFFICIAL,17100000,17974040182,5334,Music,2014
417,SUPER SLICK SLIME SAM,17100000,6078466417,741,Howto & Style,2018
418,HowToBasic,17100000,3561001854,563,Howto & Style,2011
419,李子柒 Liziqi,17100000,2801548472,128,Howto & Style,2017
420,Gaby and Alex,17000000,7942553236,351,Entertainment,2012
421,شبكة العاب العرب | Arab Games Network,17000000,7723277433,5515,Gaming,2013
422,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,17000000,6221383175,192,Education,2017
423,Rafa & Luiz,17000000,6273315738,2184,Entertainment,2015
424,Khan GS Research Centre,17000000,1670639781,347,Education,2019
425,हिंदी - Genevieve's Playhouse,16900000,9195178282,96,Education,2018
426,الـريماس - Al-Remas,16900000,10550888024,2047,Music,2013
427,Junya.じゅんや,16900000,9529205653,3150,Entertainment,2020
428,Guava Juice,16900000,8614218175,1754,Gaming,2006
429,Doggy Doggy Cartoons,16800000,6459285262,4723,Entertainment,2012
430,IGN,16800000,14633922961,149770,Gaming,2006
431,Jason Derulo,16800000,8808599101,451,Music,2008
432,Maya and Mary,16800000,6304251610,539,Entertainment,2013
433,DUDU e CAROL,16700000,6530946230,2874,Autos & Vehicles,2013
434,Jane ASMR 제인,16700000,6443586305,1546,,2012
435,Anitta,16700000,6610175435,99,Music,2011
436,Werever2morro,16700000,2714071108,972,Entertainment,2007
437,Triggered Insaan,16700000,2657491028,265,Comedy,2014
438,7clouds,16600000,11637964945,1940,Music,2013
439,Tu COSMOPOLIS,16600000,4875900353,6796,People & Blogs,2014
440,DeToxoMoroxo,16600000,2212149791,488,Entertainment,2012
441,Sourav Joshi Vlogs,16500000,5970849535,1039,People & Blogs,2019
442,TheBrianMaps,16500000,4090289417,476,Comedy,2012
443,Manual do Mundo,16500000,3367572384,2117,Howto & Style,2006
444,SonyMusicSouthVEVO,16400000,15090557603,4304,Music,2014
445,zbing z.,16400000,8307904773,2763,Gaming,2014
446,Dhar Mann,16400000,8642459264,649,People & Blogs,2018
447,IDEAS EN 5 MINUTOS,16400000,3509049258,4658,Howto & Style,2017
448,W2S,16300000,4739609055,653,Gaming,2012
449,Shemaroo Comedy,16300000,4923411314,3467,Entertainment,2007
450,ExtraPolinesios,16300000,4696367446,480,People & Blogs,2012
451,Goldmines Great Indian Comedy,16300000,4238595667,2008,Film & Animation,2016
452,Prajapati News,16300000,907965523,1081,Comedy,2013
453,SOMOY TV,16200000,9476895180,124072,News & Politics,2015
454,Sony AATH,16200000,10718891416,14759,Shows,2013
455,Miley Cyrus,16200000,6235405830,124,Entertainment,2009
456,Sandra Cires Art,16200000,3702173328,953,Howto & Style,2011
457,tanboy kun,16200000,3020272233,582,People & Blogs,2016
